Latitude (degree),Longitude (degree),Ocean,Region,Marine Setting,Microplastics Measurement,Unit,Concentration Class,Sample Date
45.28,-60.29,Atlantic Ocean,,Ocean water,0.0,pieces/m3,Very Low,7/13/1989 12:00:00 AM
40.93,-70.65,Atlantic Ocean,,Ocean water,0.002276,pieces/m3,Low,10/12/1989 12:00:00 AM
40.93,-70.65,Atlantic Ocean,,Ocean water,0.00432,pieces/m3,Low,10/12/1989 12:00:00 AM
40.3,-69.77,Atlantic Ocean,,Ocean water,0.0,pieces/m3,Very Low,10/12/1989 12:00:00 AM
39.88,-67.15,Atlantic Ocean,,Ocean water,0.0,pieces/m3,Very Low,10/15/1989 12:00:00 AM
37.83,-63.73,Atlantic Ocean,,Ocean water,0.043196,pieces/m3,Medium,10/18/1989 12:00:00 AM
37.83,-63.73,Atlantic Ocean,,Ocean water,0.535636,pieces/m3,Medium,10/18/1989 12:00:00 AM
36.9,-63.38,Atlantic Ocean,,Ocean water,0.069116,pieces/m3,Medium,10/19/1989 12:00:00 AM
36.9,-63.38,Atlantic Ocean,,Ocean water,0.084232,pieces/m3,Medium,10/19/1989 12:00:00 AM
35.7,-61.98,Atlantic Ocean,,Ocean water,0.299496,pieces/m3,Medium,10/20/1989 12:00:00 AM
34.7,-61.98,Atlantic Ocean,,Ocean water,0.01152,pieces/m3,Medium,10/20/1989 12:00:00 AM
34.87,-57.38,Atlantic Ocean,,Ocean water,0.035992,pieces/m3,Medium,10/23/1989 12:00:00 AM
34.87,-57.38,Atlantic Ocean,,Ocean water,0.00864,pieces/m3,Medium,10/23/1989 12:00:00 AM
32.65,-57.2,Atlantic Ocean,,Ocean water,0.028232,pieces/m3,Medium,10/24/1989 12:00:00 AM
32.65,-57.2,Atlantic Ocean,,Ocean water,0.151188,pieces/m3,Medium,10/24/1989 12:00:00 AM
22.9,-59.27,Atlantic Ocean,,Ocean water,0.0368,pieces/m3,Medium,10/30/1989 12:00:00 AM
